date,temp
2008/11/06,122
2008/11/07,125
2008/11/08,124
2008/11/09,115
2008/11/10,152
2008/11/11,111
2008/11/12,107
2008/11/13,116
2008/11/14,110
2008/11/15,125
2008/11/16,116
2008/11/17,109
2008/11/18,100
2008/11/19,108
2008/11/20,118
2008/11/21,91
2008/11/22,50
2008/11/23,23
2008/11/24,30
2008/11/25,73
2008/11/26,79
2008/11/27,68
2008/11/28,50
2008/11/29,36
2008/11/30,26
2008/12/01,55
2008/12/02,62
2008/12/03,55
2008/12/04,54
2008/12/05,66
2008/12/06,90
2008/12/07,89
2008/12/08,42
2008/12/09,44
2008/12/10,54
2008/12/11,37
2008/12/12,36
2008/12/13,6
2008/12/14,63
2008/12/15,41
2008/12/16,16
2008/12/17,68
2008/12/18,81
2008/12/19,82
2008/12/20,107
2008/12/21,100
2008/12/22,104
2008/12/23,83
2008/12/24,82
2008/12/25,62
2008/12/26,14
2008/12/27,5
2008/12/28,-1
2008/12/29,-2
2008/12/30,5
2008/12/31,-28
